hscode,hscode_desc,val_01,vol_01,val_02,vol_02,val_03,vol_03,val_04,vol_04,val_05,vol_05,val_06,vol_06,val_07,vol_07,val_08,vol_08,val_09,vol_09,val_10,vol_10,val_11,vol_11,val_12,vol_12,value,volume,share_val,share_weight
301993100,"Milkfish, breeding",183,26,0,0,240,30,800,800,"21,400","15,530",0,0,0,0,"1,000","1,000",300,"2,500",0,0,160,26,19,81,"24,102","19,993",0,0
301993910,Live kerapu (Cromilepte altiveli;,"2,989,636","371,324","2,426,449","313,214","2,394,123","284,690","2,001,912","277,956","1,805,219","247,178","2,358,531","297,849","1,396,875","169,384","2,324,749","243,925","2,775,740","297,312","3,837,192","446,948","3,910,744","435,073","3,960,486","530,687","32,181,656","3,915,540",1.11,0.57
301993990,Other live marine fish,"12,332","12,064","9,776","11,536",200,161,"1,801",663,844,181,278,105,225,423,"14,258","7,449","22,801","3,027","28,702","4,195","3,376",131,"2,248",305,"96,841","40,240",0,0.01
301994090,Other freshwater fish,"9,430","2,922","8,869","2,852","29,960","18,070","39,524","17,015","40,433","15,648","49,310","9,919","68,617","14,416","53,466","12,992","53,175","11,085","54,009","10,289","51,524","11,194","41,935","10,062","500,252","136,464",0.02,0.02
302190000,"Oth salmonidae fish, excluding fillet,","42,043","18,224","4,630","2,315","69,649","5,368","27,361","15,853","36,944","10,014","23,395","4,388","142,710","29,642","164,196","44,661","11,050","5,020","152,522","28,398","101,013","238,898","57,216","24,372","832,729","427,153",0.03,0.06
302210000,"Halibut (Pleuronectes platessa), excl.",0,0,0,0,0,0,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,400,0,0
302290000,"Oth flat fish, excl.fillet,liver & roes","4,776","2,388",0,0,"16,310","8,155","15,006","7,503","16,084","8,042",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"52,176","26,088",0,0
302310000,"Albacore/longfinned tunas,excl.fillet,",0,0,0,0,0,0,912,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,912,240,0,0
302320000,"Yellowfin tunas,excl.fillets, livers &","1,112,538","221,319","1,062,398","196,061","6,891","1,700","967,156","187,003","181,770","14,607","926,656","190,257","711,408","131,891","290,105","52,870","564,855","132,951","10,437","1,487","244,497","49,916","255,793","29,506","6,334,504","1,209,568",0.22,0.18
302330000,"Skipjack or stripe-bellied bonito,excl.",756,350,0,0,62,36,144,80,"76,764","51,114","137,634","102,143",0,0,0,0,711,"1,170","87,376","51,015","91,850","50,000",0,0,"395,297","255,908",0.01,0.04
302340000,"Bigeye tunas, excl.fillets,liver & roes","578,171","106,705","471,250","87,034","1,841,789","365,666","550,452","90,686","992,407","195,726","1,070,312","206,003","820,791","145,965","1,044,287","196,371","531,481","90,966","878,796","178,605","334,658","81,466","446,961","88,287","9,561,355","1,833,480",0.33,0.27
302390000,"Oth tunas, excl.fillets, livers & roes,","2,438,504","425,205","1,360,902","220,225","2,980,576","514,700","1,729,142","296,145","2,073,234","352,571","1,735,108","313,447","695,798","129,571","4,044,727","241,399","2,064,904","360,916","2,856,618","476,924","2,414,137","348,012","2,271,793","434,175","26,665,443","4,113,290",0.92,0.6
302420000,"Anchovies excl.fillets, livers and roes,","179,840","36,800","212,745","33,552","1,274","1,750","1,904","1,988","2,876","3,915","198,890","40,555","99,158","30,375","210,176","57,030","117,125","65,159","34,893","47,580","50,231","31,348","16,004","20,700","1,125,116","370,752",0.04,0.05
302430000,"Sardines, excl. fillets, livers & roes,",0,0,"1,204",465,0,0,0,0,0,0,0,0,0,0,0,0,19,12,154,20,140,180,0,0,"1,517",677,0,0
302440000,"Mackerel, excl. fillets livers & roes,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,421","3,474",0,0,"5,421","3,474",0,0
302460000,"Cobia excl.fillets, livers and roes,",0,0,0,0,0,0,0,0,172,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,20,0,0
302470000,Swordfish (xiphias gladius) excl.fillets,375,745,0,0,0,0,0,0,0,0,"1,395","1,550",365,400,0,0,"1,466",159,"16,510","2,394","18,107","2,628","13,609","5,188","51,827","13,064",0,0
302590000,"Other marine fish excl.fillets, livers",880,220,0,0,860,215,540,135,"58,700","29,350","71,110","35,405","81,426","40,713","86,220","43,110","53,380","26,690","69,960","34,870","48,190","23,925","23,330","11,665","494,596","246,298",0.02,0.04
